price,Is_Worldwide_Shipping,case_size_regex,is_cellular,price_log,model_tier_encoded,apple_series_rank,condition_encoded,brand_Garmin,brand_Samsung,brand_Small brand,material_Ceramic,material_Gold,material_Gold_Titanium,material_StainLess_Steel,material_Standard,material_Titanium,Country_Japan,Country_Other countries,Country_South Korea,Country_United Kingdom,Country_United States
999.76,1,,0,6.908514990328379,2,-1,1.0,True,False,False,False,False,False,False,False,True,True,False,False,False,False
928.0,1,,0,6.834108738813838,1,-1,1.0,True,False,False,False,False,False,False,True,False,True,False,False,False,False
934.92,1,50.0,0,6.841530002739346,3,-1,1.0,True,False,False,False,False,False,False,True,False,True,False,False,False,False
1200.0,0,,0,7.0909098220799835,3,-1,3.0,True,False,False,False,False,False,False,True,False,False,True,False,False,False
962.08,1,43.0,0,6.870136482075628,1,-1,1.0,True,False,False,False,True,False,False,False,False,True,False,False,False,False
902.28,1,,0,6.806032582872267,1,-1,1.0,True,False,False,False,False,False,False,True,False,True,False,False,False,False
913.36,1,,0,6.818224366991847,1,-1,1.0,True,False,False,False,False,False,False,True,False,True,False,False,False,False
911.44,1,47.0,0,6.816122329870138,2,-1,1.0,True,False,False,False,False,False,False,False,True,True,False,False,False,False
908.06,1,,0,6.812411098599799,3,-1,1.0,True,False,False,False,False,False,False,True,False,True,False,False,False,False
884.9,1,,0,6.786604077417986,3,-1,1.0,True,False,False,False,False,False,False,True,False,True,False,False,False,False
921.31,1,,0,6.826881392641964,2,-1,1.0,True,False,False,False,False,False,False,True,False,True,False,False,False,False
917.32,1,51.0,0,6.822545913757241,3,-1,1.0,True,False,False,False,False,False,False,True,False,True,False,False,False,False
949.56,1,,0,6.857051284607431,3,11,1.0,False,False,False,False,False,False,False,True,False,False,False,True,False,False
699.99,1,38.0,0,6.552493621597604,1,7,3.0,False,False,False,False,False,False,False,True,False,False,False,False,True,False
870.8,1,,0,6.770560039804292,2,-1,1.0,True,False,False,False,False,False,False,True,False,True,False,False,False,False
835.88,0,41.0,0,6.729680691035505,1,7,1.0,False,False,False,False,False,False,False,True,False,True,False,False,False,False
750.25,0,42.0,1,6.621738485849417,1,7,3.0,False,False,False,False,False,False,False,False,True,False,False,False,True,False
749.99,0,49.0,1,6.621392336096254,3,11,3.0,False,False,False,False,False,False,False,False,True,False,False,False,True,False
998.0,0,45.0,0,6.906754778648554,3,7,1.0,False,False,False,False,False,False,True,False,False,False,False,False,False,True
847.37,1,51.0,0,6.743316861386399,1,-1,1.0,True,False,False,False,False,False,False,True,False,True,False,False,False,False
1000.0,0,,0,6.90875477931522,3,12,1.0,False,False,False,False,False,False,False,False,True,False,True,False,False,False
1000.0,0,42.0,0,6.90875477931522,1,7,3.0,False,False,False,False,False,False,False,True,False,False,False,False,False,True
1000.0,0,,0,6.90875477931522,1,7,2.5,False,False,False,False,False,False,False,False,False,False,False,False,False,True
1000.0,0,49.0,0,6.90875477931522,3,10,1.0,False,False,False,False,False,False,False,False,True,False,False,False,False,True
999.0,0,44.0,0,6.907755278982137,1,7,2.5,False,False,False,False,False,False,False,True,False,False,False,False,False,True
999.99,1,43.0,0,6.90874478925533,2,-1,3.0,True,False,False,False,False,False,False,False,True,False,False,False,False,True
1000.0,0,49.0,1,6.90875477931522,3,11,2.5,False,False,False,False,False,False,False,False,True,False,False,False,False,True
1000.0,0,40.0,0,6.90875477931522,1,7,3.0,False,False,False,False,False,False,False,True,False,False,False,False,False,True
